City,Metric,Forecast
Delhi,Toluene,"[24.492256264770845, 22.83456323602393, 23.105988995227644, 22.94718707797172, 22.144932565935147, 22.50670775023722, 22.893578606958805]"
Delhi,Xylene,"[0.7572708146845051, 0.7588998606001612, 0.8509980330881003, 0.8299075448835933, 0.7718086870650288, 0.7720510477596007, 0.7819955668319838]"
Delhi,AQI,"[117.59998711091167, 122.82119347991275, 128.62477623102376, 140.75240592666358, 137.28207188910733, 130.79409666551487, 129.0943869754855]"
Ernakulam,PM2.5,"[7.904381953144009, 7.202009567445645, 8.171558475607636, 9.359323617525181, 8.744370194824727, 8.727301828947441, 8.349388156558502]"
Ernakulam,PM10,"[19.293212143937957, 19.29230258641913, 20.01371346455212, 22.87370928033577, 20.45849905644273, 20.42581890080505, 20.218603427762417]"
Ernakulam,NO,"[2.899657424116411, 3.1957509150840795, 3.2459936764261546, 3.1685183097787473, 3.083167542902978, 3.0917591810301674, 3.1117013738553316]"
Ernakulam,NO2,"[2.4809265346836824, 2.5657494457706123, 2.549745629176169, 2.493423291882381, 2.4640975239828316, 2.432520315562496, 2.39469054435219]"
Ernakulam,NOx,"[1.864976186084961, 2.017079619697, 2.028216654983825, 1.9612329431699407, 1.91794932627137, 1.9329468796601281, 1.944737475155839]"
Ernakulam,NH3,"[2.319983524101789, 2.9035571772297626, 3.049188733005292, 2.770503634193437, 2.580973437813857, 2.617629052752459, 2.702428232708762]"
Ernakulam,CO,"[2.17728053277932, 2.2257882669877107, 2.215383573086641, 2.2487876377720877, 2.2597874721369378, 2.2285981066326586, 2.225371707859876]"
Ernakulam,SO2,"[2.6880949826449205, 2.6962133551278167, 2.6868288236786757, 2.6978177769226446, 2.68953211485689, 2.6974206222033272, 2.6928076751920056]"
Ernakulam,O3,"[5.960284821921579, 5.8148006680232065, 5.669381964629718, 5.524044251417177, 5.378803216044202, 5.233681630903992, 5.088644198734694]"
Ernakulam,Benzene,"[0.054291953282421784, 0.1102400300445414, 0.1088081443048869, 0.10894042803734887, 0.09083054407769989, 0.08255002787330412, 0.08093223177967729]"
Ernakulam,Toluene,"[0.2204189364569106, 0.323301365407422, 0.3435158393282603, 0.3086160913103808, 0.2754947400665181, 0.2511384486441674, 0.2607259781133628]"
Ernakulam,Xylene,"[0.00905348686181122, 0.03036127125258211, 0.015612838028331967, 0.019857897260104136, 0.01356491177105032, 0.012733990060359551, 0.013483554509761008]"
Ernakulam,AQI,"[110.90671768344248, 110.36576214532892, 110.13394331880366, 110.00331422142456, 109.83034907023341, 109.92287788350814, 110.03766973166805]"
Gurugram,PM2.5,"[58.41355580476791, 56.93413813244598, 56.637262705925366, 55.08609088509718, 54.890380733318295, 56.281377876303516, 56.479731647133306]"
Gurugram,PM10,"[174.64118682703938, 164.9564660622164, 174.9870263818199, 174.15706498830883, 165.826764974724, 167.1318630876416, 169.08504637378476]"
Gurugram,NO,"[5.435590004174742, 5.202504355104599, 5.349452502957436, 5.381025147449518, 5.462242172793953, 5.459597556149085, 5.427785754626376]"
Gurugram,NO2,"[10.376442815533403, 9.996648859597395, 10.06758563351599, 9.997326544917636, 10.074762895594622, 10.114117682363124, 10.132886548567237]"
Gurugram,NOx,"[11.47136888905582, 10.855696622212943, 10.885917840536807, 11.058679607917306, 11.216453757343535, 11.245455188479053, 11.197171377957561]"
Gurugram,NH3,"[2.826215827860126, 2.828828728412895, 2.8320835879451187, 2.8103789215436397, 2.760088574023001, 2.751527383526811, 2.7626351202887105]"
Gurugram,CO,"[1.038641052032637, 1.0113295330631733, 0.9381709496525295, 0.9502518618413185, 1.0377137691161777, 1.0288733154244767, 1.0251463965514764]"
Gurugram,SO2,"[7.329847302389917, 7.546910867825788, 7.508783224747028, 7.55767607546557, 7.496646605574743, 7.53301138508302, 7.509272957029307]"
Gurugram,O3,"[42.05949269238571, 39.318149751876646, 38.17710171479926, 39.25066411760679, 41.23298935952344, 41.222199328996176, 41.06085035834288]"
Gurugram,Benzene,"[2.60735246403241, 2.4817187010622765, 2.5026907893567696, 2.509831647177933, 2.4957648255733655, 2.525646860471722, 2.5429198281961463]"
Gurugram,Toluene,"[4.421471242724448, 4.39564483537466, 4.316166169884418, 4.299840858012518, 4.312844827107978, 4.330496504082041, 4.335962203678206]"
Gurugram,Xylene,"[4.719749449882428, 4.725054316562857, 4.781473045080262, 4.797384879677336, 4.793960582899469, 4.777851139636216, 4.769396622222989]"
Gurugram,AQI,"[154.94795211811012, 151.5245524061208, 149.14521174621026, 148.3833481592349, 148.59202730888174, 149.55769820073994, 149.9157620004999]"
Guwahati,PM2.5,"[25.962957798204332, 24.877152533026134, 24.882801566886947, 25.5605912566516, 26.22805310916668, 28.074615969063558, 26.419955350892693]"
Guwahati,PM10,"[41.46360767041395, 35.57167508261742, 37.47689025923629, 39.330285813471264, 37.952220511688395, 40.07607956765738, 39.838830954701564]"
Guwahati,NO,"[0.9445039529534347, 1.4571929431586748, 1.4786213668732566, 1.4646544286615135, 1.4483953486544694, 1.2795192881517183, 1.2258846391105984]"
